# 14, 6.05022e-13
# gs-MINRES method (IC-CG)
# A = ../data/ELSES_MATRIX_VCNT900h_A.mtx
# B = ../data/ELSES_MATRIX_VCNT900h_B.mtx
# time = 22.9561 s
 0   0.105106   0.030902   901  3.66320e-12  1.52045e-11
 1   0.068779   0.080902   375  3.55747e-12  1.16148e-11
 2   0.010000   0.100000   304  3.60809e-12  1.10041e-11
 3  -0.048779   0.080902   370  3.66221e-12  1.19982e-11
 4  -0.085106   0.030902   910  3.53644e-12  1.61783e-11
 5  -0.085106  -0.030902   910  3.53644e-12  1.93786e-11
 6  -0.048779  -0.080902   370  3.66221e-12  1.12628e-11
 7   0.010000  -0.100000   304  3.60809e-12  9.58921e-12
 8   0.068779  -0.080902   375  3.55747e-12  1.14684e-11
 9   0.105106  -0.030902   901  3.66320e-12  2.52330e-11
